File_Name,First_Author_Surname,Year_Publication,Title,Topic
bjr.20220370.pdf,Wang,2022,"Multimodal perioperative assessment of liver function and volume in patients undergoing hepatectomy for colorectal liver metastasis: a comparison of the indocyanine green retention test, 99mTc mebrofenin hepatobiliary scintigraphy and gadoxetic acid enhanced MRI",LiverMetastases
cancers-13-04590.pdf,Lee,2021,Perioperative Systemic Chemotherapy for Colorectal Liver Metastasis: Recent Updates,LiverMetastases
fonc-13-963966.pdf,Vulasala,2023,Interventional radiological therapies in colorectal hepatic metastases,LiverMetastases
s10434-023-13781-0.pdf,Kobayashi,2023,Prognostic Impact of Tumor Markers (CEA and CA19‑9) on Patients with Resectable Colorectal Liver Metastases Stratified by Tumor Number and Size: Potentially Valuable Biologic Markers for Preoperative Treatment,LiverMetastases
dixon-et-al-2020-the-future-liver-remnant-definition-evaluation-and-management.pdf,Dixon,2021,"The Future Liver Remnant: Definition, Evaluation, and Management",LiverMetastases
PIIS0002961098003031.pdf,Bakalakos,1999,Is Carcino-Embryonic Antigen Useful in the Follow-up Management of Patients with Colorectal Liver Metastases?,LiverMetastases
PIIS1533002824000872.pdf,Kim,2024,Initial Assessment of Resectability of Colorectal Cancer Liver Metastases Versus Clinical Outcome,LiverMetastases
PIIS1533002824000045.pdf,Miller,2024,Consideration of Metastasis-Directed Therapy for Patients With Metastatic Colorectal Cancer: Expert Survey and Systematic Review,LiverMetastases
mulcahy-et-al-2021-radioembolization-with-chemotherapy-for-colorectal-liver-metastases-a-randomized-open-label.pdf,Mulcahy,2021,"Radioembolization With Chemotherapy for Colorectal Liver Metastases: A Randomized, Open-Label, International, Multicenter, Phase III Trial",LiverMetastases
bjc2017218.pdf,Allard,2017,Long-term outcomes of patients with 10 or more colorectal liver metastases,LiverMetastases
WJH-13-1629.pdf,Del Basso,2021,Current strategies to induce liver remnant hypertrophy before major liver resection,LiverMetastases
PIIS0305737224000148.pdf,Bernardia,2024,Preoperative chemotherapy in upfront resectable colorectal liver metastases: New elements for an old dilemma?,LiverMetastases
cancers-16-00571.pdf,Baumgart,2024,Resection of Colorectal Liver Metastases with Major Vessel Involvement,LiverMetastases
s10434-006-9215-5.pdf,Tsai,2006,Clinicopathological Features and Prognosis in Resectable Synchronous and Metachronous Colorectal Liver Metastasis,LiverMetastases
AnnGastroenterol-32-147-2.pdf,Tsitskari,2019,The role of interventional oncology in the treatment of colorectal cancer liver metastases,LiverMetastases
PIIS0923753419572271.pdf,Giacchetti,1999,"Long-term survival of patients with unresectable colorectal cancer liver metastases following infusional chemotherapy with 5-fluorouracil, leucovorin, oxaliplatin and surgery",LiverMetastases
1-s2.0-S1044579X20301991-main.pdf,Schadde,2021,Limitations in resectability of colorectal liver metastases 2020 – A systematic approach for clinicians and patients,LiverMetastases
1-s2.0-S1365182X2300566X-main.pdf,Andel,2023,Colorectal liver metastases that survive radioembolization display features of aggressive tumor behavior,LiverMetastases
